Title,Runtime,ReleaseDate,Rating,DomesticTotalGross,Director,Budget
Resident Evil: Afterlife,100,2010-09-10 00:00:00,R,60128566,Paul W.S. Anderson,60000000
Tyler Perry's Why Did I Get Married Too?,121,2010-04-02 00:00:00,PG-13,60095852,Tyler Perry,20000000
Tooth Fairy,102,2010-01-22 00:00:00,PG,60022256,Michael Lembeck,48000000
Secretariat,116,2010-10-08 00:00:00,PG,59713955,Randall Wallace,35000000
Easy A,92,2010-09-17 00:00:00,PG-13,58401464,Will Gluck,8000000
Takers,107,2010-08-27 00:00:00,PG-13,57744720,John Luessenhop,32000000
Legend of the Guardians: The Owls of Ga'Hoole,90,2010-09-24 00:00:00,PG,55675313,Zack Snyder,80000000
Life as We Know It,112,2010-10-08 00:00:00,PG-13,53374681,Greg Berlanti,38000000
Letters to Juliet,105,2010-05-14 00:00:00,PG,53032453,Gary Winick,30000000
Wall Street: Money Never Sleeps,127,2010-09-24 00:00:00,PG-13,52474616,Oliver Stone,70000000
Hot Tub Time Machine,100,2010-03-26 00:00:00,R,50287556,Steve Pink,36000000
Kick-Ass,117,2010-04-16 00:00:00,R,48071303,Matthew Vaughn,30000000
Killers,100,2010-06-04 00:00:00,PG-13,47059963,Robert Luketic,75000000
Saw 3D,91,2010-10-29 00:00:00,R,45710178,,20000000
Hubble 3D,43,2010-03-19 00:00:00,G,,,
Cop Out,110,2010-02-26 00:00:00,R,44875481,Kevin Smith,30000000
Cats & Dogs: The Revenge of Kitty Galore,82,2010-07-30 00:00:00,PG,43585753,Brad Peyton,85000000
Edge of Darkness,108,2010-01-29 00:00:00,R,43313890,Martin Campbell,80000000
Gulliver's Travels,85,2010-12-25 00:00:00,PG,42779261,Rob Letterman,112000000
Death at a Funeral,90,2010-04-16 00:00:00,R,42739347,Neil LaBute,21000000
Step Up 3-D,97,2010-08-06 00:00:00,PG-13,42400223,Jon Chu,30000000
The Last Exorcism,100,2010-08-27 00:00:00,PG-13,41034350,Daniel Stamm,1800000
Legion,100,2010-01-22 00:00:00,R,40168080,Scott Charles Stewart,26000000
Burlesque,100,2010-11-24 00:00:00,PG-13,39440655,Steven Antin,55000000
The Crazies,101,2010-02-26 00:00:00,R,39123589,Breck Eisner,20000000
For Colored Girls,120,2010-11-05 00:00:00,R,37729698,Tyler Perry,21000000
The Back-Up Plan,98,2010-04-23 00:00:00,PG-13,37490007,,35000000
Vampires Suck,80,2010-08-18 00:00:00,PG-13,36661504,Jason FriedbergAaron Seltzer,20000000
The American,105,2010-09-01 00:00:00,R,35606376,Anton Corbijn,20000000
Green Zone,115,2010-03-12 00:00:00,R,35053660,Paul Greengrass,100000000
Marmaduke,87,2010-06-04 00:00:00,PG,33644788,Tom Dey,50000000
Devil,80,2010-09-17 00:00:00,PG-13,33601190,Drew DowdleJohn Erick Dowdle,
Hereafter,129,2010-10-15 00:00:00,PG-13,32746941,Clint Eastwood,50000000
When in Rome,91,2010-01-29 00:00:00,PG-13,32680633,Mark Steven Johnson,
Love and Other Drugs,113,2010-11-24 00:00:00,R,32367005,Edward Zwick,30000000
She's Out of My League,104,2010-03-12 00:00:00,R,32010860,Jim Field Smith,20000000
Scott Pilgrim vs. the World,113,2010-08-13 00:00:00,PG-13,31524275,Edgar Wright,60000000
Charlie St. Cloud,90,2010-07-30 00:00:00,PG-13,31162545,Burr Steers,44000000
